"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11206","read csv file 2","chromium","2026-04-02","passed","2026-04-02","","readcsv.spec.js","",""
"","20172","read csv file 1","chromium","2026-04-02","passed","2026-04-02","","readcsv.spec.js","",""
